	TCGA-A2-A0YJ-01	TCGA-E2-A14Z-01	TCGA-AO-A0J7-01	TCGA-AO-A03M-01	TCGA-BH-A18M-01	TCGA-BH-A28Q-01	TCGA-A8-A08O-01	TCGA-C8-A130-01	TCGA-BH-A8FY-01	TCGA-AO-A125-01	TCGA-E2-A10B-01	TCGA-AN-A0XO-01	TCGA-AO-A1KT-01	TCGA-E2-A15H-01	TCGA-D8-A27W-01	TCGA-AO-A0JI-01	TCGA-BH-A0C3-01	TCGA-A8-A09Q-01	TCGA-AR-A250-01	TCGA-E9-A22G-01	TCGA-BH-A201-01	TCGA-E2-A1L6-01	TCGA-AN-A0FY-01
NAAA	790	1649	892	1764	1466	2547	757	818	877	1980	1714	774	2236	1679	2325	712	1349	1969	7049	1804	2240	1484	855
NAALAD2	10	18	6	39	37	56	43	19	9	9	24	47	27	22	18	10	732	19	26	54	77	56	52
NAALADL1	28	111	40	115	141	95	97	97	31	11	81	131	94	81	114	54	84	59	167	42	216	123	136
NAALADL2	411	389	218	797	1145	2086	533	290	805	474	902	2919	555	1150	227	829	572	1758	887	243	2155	911	447
NAB1	2081	1254	1651	1985	2741	3645	1179	992	2707	2794	2105	2867	1296	1627	1595	497	2032	2118	2385	3210	4279	4675	4788
NAB2	916	1020	2825	2485	1764	3144	2162	832	938	3645	3126	2096	2128	2021	1958	496	947	1373	1138	2366	2669	1898	4382
NACA2	54	103	89	55	64	126	41	57	470	93	85	105	93	89	112	43	44	112	110	111	81	155	126
NACAD	138	64	52	640	300	79	180	531	16	9	288	547	424	106	107	26	168	39	237	26	290	182	1211
NACAP1	202	341	407	270	287	357	178	148	318	362	309	459	393	250	335	194	166	509	342	484	368	486	797
NACA	28184	39056	54484	47235	35854	56598	26913	18554	44369	53366	46125	80309	45595	35753	56401	28505	23779	56014	41506	49762	42360	49330	63441
NACC1	6502	4936	7466	7454	5135	7464	6891	12891	5193	3628	12146	8116	3727	4135	9733	5578	3483	4303	5741	8370	6349	4685	7471
NACC2	302	46	133	167	126	169	165	63	58	73	286	148	93	122	160	206	270	65	189	52	169	99	38
NADK	1743	3361	1850	5987	3390	4053	2499	3137	2010	2151	3664	4582	2847	2664	3799	1430	4290	3685	2426	2481	3103	3668	5288
NADSYN1	1134	2043	1942	1999	2235	1710	2549	5970	2977	3960	1975	1713	1821	2577	2702	1694	3121	2759	3494	2210	1365	3180	2747
NAE1	1990	2101	1725	3784	1411	2120	1584	2024	1072	1314	2637	2062	1913	1597	4779	1484	1472	1732	3164	3567	3188	1808	4162
NAF1	489	360	418	694	635	1502	804	408	477	1199	845	1149	1010	388	1605	945	542	821	857	486	1218	641	750
NAGA	3291	2823	3831	6425	2708	4805	1927	3972	2723	2825	3662	2818	5535	2315	6740	4368	2452	4201	4888	1511	3826	3739	2475
NAGK	1590	3033	1918	5063	2158	3498	2491	3720	3229	2714	3040	2622	5300	2466	3476	3640	2182	3418	4438	6848	3364	2640	3607
NAGLU	2353	1250	1864	1547	1970	2004	1256	2030	1454	1832	1751	2060	3561	1195	3465	3348	1781	1622	2103	678	2690	1797	1399
NAGPA	551	543	495	563	457	973	361	894	517	796	653	725	867	613	708	426	813	742	532	389	372	517	886
NAGS	101	63	145	75	117	353	189	215	88	147	105	221	1453	261	349	5022	215	530	144	22	259	191	128
NAIF1	632	576	674	1006	487	721	414	1633	378	478	1013	842	570	681	1019	426	302	516	587	653	417	596	1292
NAIP	25	268	59	215	207	1893	261	82	132	679	177	168	155	154	222	103	265	390	254	104	244	299	252
NALCN	68	45	32	53	143	233	88	43	0	1	265	339	337	85	207	107	57	83	286	2243	309	70	78
NAMPT	7819	3148	1515	15188	4138	14754	3994	3117	1422	3335	4503	4817	9141	4577	3561	3765	4365	7041	5516	11110	12300	7347	3326
NANOG	5	2	0	8	3	9	2	8	3	14	2	4	2	4	1	2	8	0	0	4	3	4	3
NANOS1	2680	589	747	1247	309	372	181	847	907	668	631	466	980	384	508	507	549	278	476	726	649	511	937
NANOS2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOS3	3	24	16	8	16	36	19	232	3	56	11	23	5	8	21	4	3	3	4	57	9	8	44
NANP	706	422	550	552	437	840	435	296	296	432	1057	605	850	436	1306	602	566	563	741	1902	768	520	2221
NANS	1803	2416	10123	4898	3296	4888	1938	2337	6718	4632	9294	4349	5689	5070	5442	2878	1534	4268	7379	4070	3920	4589	5293
NAP1L1	12856	17202	35217	24559	18520	39537	16230	17751	18599	13267	26583	33462	33256	17655	28534	19816	13928	50245	17816	25379	24113	20375	33336
NAP1L2	2	102	11	84	94	255	136	34	17	45	44	163	69	115	144	27	154	344	65	5	148	204	12
NAP1L3	9	116	85	171	255	201	197	139	22	8	188	275	426	168	209	76	212	136	554	97	402	242	180
NAP1L4	4686	5626	7370	12362	10371	9971	8906	4493	7917	8086	10257	11463	15383	8260	8893	6797	4275	8567	12323	9865	8771	8213	18839
NAP1L5	136	206	464	421	317	269	303	195	258	224	718	405	213	133	237	348	228	390	317	353	571	711	281
NAP1L6	0	11	1	7	7	2	64	1	6	0	4	9	7	92	3	1	22	5	7	2	1	19	0
NAPA	2399	10659	14503	20290	9410	10645	11299	9486	8955	16618	14327	10647	12683	5392	17331	15804	5331	19272	14336	5779	7556	11833	10468
NAPB	556	596	3375	715	629	1542	834	534	749	1070	1999	649	946	524	1585	1572	445	370	906	884	675	1006	3421
NAPEPLD	1075	590	923	868	1406	2437	1497	939	723	1437	1628	1530	1200	928	1071	1334	933	1901	2116	1833	1996	1424	1455
NAPG	1152	1088	1083	1567	1680	2608	2763	1493	1662	1516	2605	1504	4434	1650	4450	1989	1951	1591	3413	1383	2613	3627	1126
NAPRT1	2679	2215	1056	7473	3150	742	703	220	2677	2403	2209	777	3228	1382	5141	2459	302	307	1253	781	1478	749	2075
NAPSA	5	7	14	8	16	17	21	62	6	16	9	4	5	11	20	6	3	14	14	2	11	3	72
NAPSB	16	926	267	887	481	482	251	458	308	15	698	16	373	225	927	83	390	217	684	322	347	996	314
NARFL	1369	1431	2436	1963	1461	2365	1279	2757	1393	2034	2608	2594	1746	2475	3128	1388	1546	1892	1920	1567	1306	1064	2566
NARF	2577	1500	2112	4030	1207	1687	1836	2504	1152	1625	1179	2198	2791	1018	3428	1041	1972	2333	1697	3937	1209	1473	3903
NARG2	1456	2033	1434	1993	3908	5452	2604	1457	1571	3298	4007	3711	2226	1927	2375	3577	2180	2892	2703	1981	3621	3967	2123
NARS2	1338	955	916	1337	1146	2667	1156	1355	552	831	1240	1543	554	702	1561	1020	785	1954	538	2467	7047	1032	1843
NARS	18970	4580	8366	17775	8824	14506	10825	10063	4762	9193	16201	16605	8051	10357	25627	10237	7701	10263	12785	17577	10836	10183	21138
NASP	4007	4296	6109	7451	4243	4937	4544	9987	7265	6083	4824	5024	7636	7768	4185	2470	3794	3742	7754	23758	5130	5630	11560
NAT10	3511	2647	4194	4803	3939	7410	4544	4693	2839	3705	4594	4444	9916	5160	7013	4634	2142	5638	8473	14785	4963	3488	11222
NAT14	217	441	2320	1835	753	1094	748	2102	1092	950	1569	1215	646	568	1148	1070	215	730	872	623	781	468	2983
NAT15	3328	3805	3342	5707	4517	3801	3560	5991	2531	3904	6165	5997	5443	5566	5812	2628	4238	3253	5337	3216	3621	2854	6886
NAT1	39	3932	26540	3792	4307	5181	2348	4733	12073	40275	24546	23786	1160	6980	597	9972	3044	2448	7452	45	1066	32580	464
NAT2	1	156	37	25	55	26	2	19	8	11	4	139	6	19	1	56	6	3	7	60	15	17	5
NAT6	233	449	768	615	411	608	253	307	884	861	349	562	555	465	405	471	337	758	250	306	413	581	537
NAT8B	1	14	3	25	5	2	4	11	2	4	10	8	20	6	9	2	1	3	9	4	1	21	6
NAT8L	557	17	121	592	158	38	187	412	5	7	242	75	583	20	1991	929	565	559	122	130	91	53	608
NAT8	0	19	3	48	11	9	11	12	15	11	42	10	11	3	3	5	1	4	0	0	5	14	8
NAT9	1051	830	2098	2050	937	1735	792	1639	1336	1620	911	1689	1480	2050	3736	1051	2000	1370	1764	1987	1212	1272	3952
NAV1	5832	2620	3616	1768	4345	11558	3501	2801	1053	2295	5573	7400	10384	4098	11870	4339	6675	5221	7661	10558	7502	3870	3694
NAV2	2287	1981	764	1307	3427	20967	4140	858	1425	1314	7820	2555	3735	603	1853	858	1001	1905	930	4811	9828	3946	7846
NAV3	17	121	58	153	553	312	188	121	433	63	437	239	261	94	493	106	386	146	344	614	480	344	222
NBAS	7243	2029	2559	4261	3347	7448	3946	2092	1703	2140	5404	4562	5160	2773	7249	5543	3391	4472	4803	5697	3758	4032	3869
NBEAL1	723	444	175	612	764	2142	720	201	54	331	547	489	143	559	808	487	757	1002	1072	59	1147	831	407
NBEAL2	3410	5389	2915	3712	3852	6467	4084	3438	3264	3922	2810	5867	4538	6705	4280	3416	3535	6524	5924	2370	3111	3833	6733
NBEA	24	264	1104	2409	1533	2299	1825	455	146	318	544	1515	781	690	5642	1816	893	800	1711	85	799	1919	1293
NBL1	4343	5735	12563	5092	10703	13481	13353	10708	693	131	13514	10384	12914	11508	17985	3200	6827	4674	14656	5861	11741	5151	39259
NBLA00301	7	11	4	14	53	49	43	20	0	0	41	25	51	16	37	5	74	15	56	77	59	35	20
NBN	8903	5885	5720	6060	5937	4844	6694	5286	2125	3775	6426	5163	4611	3237	14360	8725	4529	12334	12484	13826	5344	8231	5871
NBPF10	2072	1703	1505	1500	3773	8377	5066	1229	710	4002	4813	4259	1273	3733	1822	2047	4181	2611	3151	1598	5802	8130	3869
NBPF14	1550	763	588	561	840	3718	2757	905	1390	1147	974	988	983	1764	359	301	1707	1880	3923	1194	1325	3178	1897
NBPF15	309	296	118	863	964	1633	1080	843	365	2095	776	416	671	1837	647	1314	1961	1278	1570	99	1606	527	1138
NBPF16	74	84	79	165	462	409	243	144	138	279	236	409	67	874	285	640	263	140	662	49	582	192	430
NBPF1	939	1091	1878	4796	2599	2564	4000	1312	199	2573	3672	3034	983	976	1958	807	2058	2698	1960	2471	1991	2935	8023
NBPF22P	3	18	0	0	5	18	66	10	11	196	43	0	5	14	14	27	1	0	2	21	43	118	13
NBPF3	171	232	184	1541	390	1685	369	300	175	478	1138	949	321	378	485	829	550	527	252	1022	850	1162	2024
NBPF4	83	277	0	1	36	450	2196	140	104	5018	1304	11	132	319	506	809	5	0	70	519	1486	2603	214
NBPF6	9	216	0	1	3	254	427	20	34	682	464	0	62	150	299	289	0	0	7	185	80	534	148
NBPF7	3	3	0	3	3	9	9	0	5	20	2	5	3	6	4	2	12	1	5	2	9	5	11
NBPF9	333	539	146	668	1013	1369	1369	240	467	2920	1042	1313	393	956	859	958	814	1392	1632	835	1066	2775	586
NBR1	4577	5723	12130	9107	12221	19312	12691	7665	5535	7198	13863	15918	11616	5304	31840	13621	11946	11802	18562	3956	12848	12078	8319
NBR2	294	144	593	241	473	434	201	362	375	968	201	329	594	275	435	334	374	100	862	340	448	214	293
NCALD	552	2719	272	1467	907	758	599	571	343	311	898	2312	5808	350	705	673	723	456	941	1283	2575	1175	1546
NCAM1	52	108	39	186	84	38	76	143	60	11	169	189	228	44	353	33	631	47	218	429	110	73	326
NCAM2	20	391	136	284	1361	2514	493	263	60	1280	545	1322	5671	133	370	12107	139	1156	526	16	2892	3227	122
NCAN	63	2	3	1	1	1	0	0	1	0	14	1	0	2	26	1	0	1	1	583	15	4	0
NCAPD2	6540	3433	4738	10123	4519	4945	4447	7361	1896	2576	7119	7288	5553	6477	11544	2948	4344	3700	6570	42182	3931	4370	10881
NCAPD3	3959	1955	2846	3212	1375	2243	1516	873	947	1216	3630	2788	1513	2062	3609	2289	1369	3150	1719	3193	1152	2279	5840
NCAPG2	1973	1523	1647	5397	1452	1543	1928	2193	783	918	2565	1831	2923	1660	3333	2272	1458	1371	2921	7851	2168	1951	5162
NCAPG	1382	1294	1256	1891	631	364	961	3552	449	719	1083	555	2092	1170	3139	1095	700	1626	1997	4053	948	856	4884
NCAPH2	1330	1420	2737	1832	1430	1925	1021	2964	2262	1575	1951	1676	2828	1447	2946	1487	1620	2803	1858	5362	2348	1649	3688
NCAPH	2104	825	1617	1576	548	281	536	2187	269	338	759	547	1127	981	1877	689	626	949	1448	3343	439	595	2080
NCBP1	4076	1941	4513	5606	3261	6034	3058	2044	1157	2363	10737	3566	3817	3288	5141	3057	1917	3124	5685	9751	3902	4268	5508
NCBP2	4732	6331	9233	8921	5072	7744	4201	8672	3353	4059	6324	11909	8285	4675	6380	6398	3929	13213	5867	9682	8513	6426	7854
NCCRP1	4451	91	7	322	25	3	44	48	0	24	204	824	43	123	9	22	71	70	15	368	96	70	88
NCDN	1860	1421	2089	5716	3221	4165	2641	1960	1513	3005	3040	2188	1901	1803	3975	3476	1866	2064	4387	2497	2124	2575	3186
NCEH1	422	1247	962	1966	1393	2101	1519	946	1101	1324	1786	4122	1580	2103	1523	1515	1204	3588	2895	684	3295	1891	1227
NCF1B	6	75	39	69	25	101	27	14	64	10	55	12	23	13	164	9	77	188	49	112	9	45	31
NCF1C	21	116	12	214	64	68	22	37	26	20	84	18	79	19	207	9	96	223	134	37	5	63	41
NCF1	87	505	58	676	202	233	65	157	203	97	302	42	233	131	246	39	339	542	492	172	33	215	142
NCF2	645	1067	393	1064	573	629	237	591	225	189	892	314	1184	252	1138	112	861	2169	1545	625	656	511	715
NCF4	63	706	110	682	295	305	152	342	346	124	388	133	397	117	522	168	395	495	501	250	179	319	252
NCK1	2073	1250	1622	2214	1517	2169	1143	1228	678	737	1456	2023	1381	1237	1991	1187	1501	2497	2036	2115	1822	1566	1722
NCK2	4024	2348	1632	3888	1778	3262	1699	2600	1082	1363	1842	4705	2559	1481	2309	1959	1740	1353	2134	3409	3280	2284	3803
NCKAP1L	407	2143	340	3637	1122	1429	415	713	652	175	1522	258	1118	356	2656	589	1676	4507	2560	468	1211	1350	1002
NCKAP1	15311	7458	10304	15228	11674	21168	8524	7768	3916	7575	13194	16205	11072	8736	20829	8124	12110	9183	18480	7143	19158	13500	13712
NCKAP5L	1343	1684	1573	2399	1595	1454	1299	1590	1004	1039	1825	1832	1146	1182	1369	815	1186	890	1434	805	1502	1184	1423
NCKAP5	622	371	1622	1408	1174	497	320	296	344	487	1549	763	816	911	775	222	370	773	865	251	1261	1170	765
NCKIPSD	1772	1301	1961	1842	1859	1984	855	1372	1488	1458	1779	3450	2931	1700	2641	1750	1563	2331	1675	1202	1533	1609	2204
NCLN	3854	5080	6108	4033	2720	4231	1696	3719	3958	2204	4406	4260	2500	2731	5398	3791	2591	4121	3828	5504	3573	3315	3155
NCL	34950	25890	58896	49009	36063	50076	19771	31978	17712	19824	39735	45778	50112	34485	40021	23471	26611	42850	56878	60526	59764	28156	61172
NCOA1	4981	2821	3437	5031	5474	7425	3004	3603	2895	3047	6696	5918	4567	2485	6194	9365	4589	4515	7007	9203	8830	5207	2635
NCOA2	5755	1218	1781	2383	2920	5139	3036	1726	241	580	3705	4100	1163	2023	12013	4514	2377	8488	4373	1280	2755	2448	3471
NCOA3	5003	3471	2803	16371	4003	8485	5956	3380	1070	2026	11113	6179	3969	4227	10279	7127	4189	5721	9324	1647	5154	3887	18813
NCOA4	9319	8928	18077	16193	11834	22243	23920	9341	4251	6023	13677	14818	15148	13713	38121	15411	16573	19436	20292	11141	20074	14789	10683
NCOA5	3865	3331	4966	6663	3867	6748	2858	4787	2067	3367	7659	5628	4381	4428	5126	3730	2558	3237	4406	5499	4379	3903	12189
NCOA6	7386	3724	6692	5582	5106	12951	5131	4636	1636	3908	12225	6340	6759	5602	10287	7581	4959	6228	8273	9362	6175	4677	6229
NCOA7	5333	1611	298	4254	2668	2571	1055	946	374	1044	1876	3032	895	828	1496	937	2122	1493	1852	7679	4319	2719	2559
NCOR1	10095	3776	9068	7921	11471	15999	6384	5347	2406	6309	13226	6399	7918	5487	12488	12464	5540	11217	8678	4944	9664	9479	7990
NCOR2	11705	5856	13164	15972	9737	12069	13505	6467	7700	6959	16727	10079	8303	10051	14908	16125	7867	6583	12447	10072	11629	9146	19550
NCR1	1	5	0	8	2	2	0	1	0	2	6	0	1	0	2	1	2	12	0	1	0	0	0
NCR2	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
NCR3	0	34	0	60	6	13	5	7	3	1	10	3	5	6	29	15	24	37	11	13	9	6	13
NCRNA00028	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	22	1	0	0
NCRNA00029	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
NCRNA00032	0	0	0	0	2	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	1	0
NCRNA00051	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NCRNA00052	0	22	1	217	794	1	639	0	1	3	0	62	1447	1552	5	5	0	68	0	0	1	136	292
NCRNA00081	140	299	734	692	423	698	285	507	562	979	592	495	464	377	926	625	458	551	620	348	491	697	505
NCRNA00085	13	244	171	322	175	151	283	202	277	250	113	227	93	143	89	104	97	262	69	54	126	63	323
NCRNA00086	79	50	11	219	195	81	93	176	26	5	28	63	16	55	39	13	106	24	16	12	142	260	24
NCRNA00087	41	21	12	54	63	67	40	76	25	35	35	35	71	21	39	8	86	14	44	64	92	62	18
NCRNA00092	33	6	1	8	1	5	2	3	1	0	1	0	2	1	2	5	3	1	1	248	1	7	1
NCRNA00093	0	0	66	6	143	18	15	1	55	3	55	25	3	1	6	2	10	9	12	0	13	101	4
NCRNA00094	1544	1693	2864	5220	2017	4143	1952	1651	1886	2534	3795	2745	3256	2025	2626	2493	1293	1624	2789	2112	1734	2328	2041
NCRNA00095	161	168	195	124	315	670	310	162	98	1080	322	307	54	526	228	536	1217	103	556	68	134	307	232
NCRNA00099	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCRNA00105	6	270	158	14	61	52	105	331	700	272	22	102	51	193	9	69	90	94	37	64	81	78	647
NCRNA00107	11	31	51	79	33	54	49	144	84	191	47	44	34	140	12	172	60	19	29	7	44	37	65
NCRNA00110	0	13	9	0	11	17	7	3	48	55	9	10	0	0	0	1	4	14	0	4	5	121	4
NCRNA00111	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCRNA00112	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	0	1	0	1
NCRNA00113	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
NCRNA00114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
NCRNA00115	14	59	60	41	41	65	32	163	57	77	30	29	22	56	38	25	31	86	52	54	48	45	103
NCRNA00116	338	354	583	609	286	334	182	586	881	748	358	603	492	327	517	313	206	386	294	363	373	366	367
NCRNA00119	0	1	0	0	1	2	2	2	1	0	1	1	0	0	0	1	1	107	1	3	4	1	4
NCRNA00120	93	66	181	256	124	57	40	33	29	25	108	38	28	46	57	51	55	104	75	184	126	121	104
NCRNA00152	505	704	697	1508	718	663	292	863	460	902	493	1112	2148	532	686	72	239	372	828	318	717	349	1180
NCRNA00157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NCRNA00158	0	4	1	11	1	0	1	0	0	0	0	1	0	0	0	0	1	3	1	7	0	2	1
NCRNA00159	0	0	0	0	1	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0
NCRNA00160	6	120	3	41	13	13	4	11	64	626	22	136	16	42	7	0	13	11	9	0	20	56	12
NCRNA00161	0	0	0	3	0	0	0	13	0	0	0	0	2	0	0	0	0	1	2	0	1	1	0
NCRNA00162	65	2	1	2	3	0	9	5	4	0	2	16	3	0	2	1	0	1	1	16	9	2	0
NCRNA00164	2	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	4	0	3	2	0	0
NCRNA00167	0	4	0	6	0	3	1	7	6	7	5	2	3	5	3	24	8	4	3	6	6	3	5
NCRNA00169	13	5	5	10	9	15	3	2	2	9	19	6	5	8	23	1	1	5	5	0	8	12	7
NCRNA00171	28	81	62	168	75	101	111	61	120	57	65	169	46	73	60	99	70	78	89	49	62	95	99
NCRNA00173	60	92	62	7	63	112	17	52	306	521	87	4	115	71	23	457	26	30	7	26	128	53	61
NCRNA00174	153	620	179	244	452	586	455	1048	810	2527	280	382	301	540	191	313	281	187	305	237	282	889	779
NCRNA00175	0	0	1	0	0	3	0	1	0	0	0	1	0	0	1	0	1	0	4	0	3	1	0
NCRNA00176	25	49	51	66	37	115	22	309	163	255	131	116	67	89	323	1894	97	101	40	25	25	59	23
NCRNA00181	156	302	670	1321	410	623	549	754	140	533	550	496	659	320	670	328	383	526	596	169	487	565	998
NCRNA00182	38	63	58	90	176	205	117	65	84	127	91	233	49	78	49	63	103	117	98	64	182	220	166
NCRNA00183	187	608	824	668	790	1073	760	1067	573	2085	695	1341	1231	754	759	1509	618	631	1124	577	928	1239	539
NCRNA00185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCRNA00188	14379	13951	54744	17392	30913	38484	7482	8577	9541	16313	11919	34979	25475	19850	27454	16014	9082	76228	6942	29464	12899	22929	27177
NCRNA00189	1	2	2	7	0	0	1	0	0	0	1	6	4	2	2	0	0	23	10	2	5	8	1
NCRNA00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NCRNA00201	812	4300	2316	1000	2881	5219	3028	3071	4440	14797	2279	2641	2897	4372	1013	1238	1432	1489	3401	8883	3236	4549	7107
NCRNA00202	100	51	76	6	26	18	48	12	70	58	29	22	4	30	8	63	10	40	14	145	17	75	1
NCRNA00203	1	2	0	1	0	1	3	3	1	2	0	0	0	1	2	1	1	7	0	1	0	2	3
NCRNA00204B	2	10	16	8	6	18	6	9	32	29	12	15	16	14	2	2	1	3	4	15	10	11	15
NCRNA00207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCRNA00219	135	542	1601	728	1041	1249	446	352	1077	1064	798	2633	1279	644	908	865	403	419	389	1039	935	849	688
NCRNA00230B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCRNA00235	1	2	1	17	2	9	6	7	3	18	5	14	0	9	12	22	8	4	2	0	2	1	8
NCS1	4443	699	1090	3606	1033	1268	913	913	280	265	2792	1919	1727	1184	1848	779	757	733	2038	5021	2383	1237	944
NCSTN	12648	7991	10079	10447	8101	22015	7500	7895	15536	15533	16987	15411	13146	11445	13224	9010	8796	7903	18701	17967	12054	10487	6370
NDC80	1825	529	787	863	469	193	509	1270	398	536	947	710	1382	916	1348	463	437	599	1257	6766	648	605	813
NDE1	1689	1336	2607	2887	2267	3724	2329	2215	656	2517	3849	1991	2207	3656	3903	1514	1878	2783	3085	2383	1878	2508	5545
NDEL1	3135	1525	2233	2085	2064	3566	1388	2041	1141	2637	2072	1640	3040	1440	2788	1440	1420	2296	2488	1911	2223	2621	4075
NDFIP1	3723	7649	11599	8951	9831	15225	8658	5489	11028	8758	18691	21272	13417	6022	16557	18444	7062	10557	7583	4657	11863	15828	8060
NDFIP2	2566	885	2403	2314	1788	2019	1497	787	544	1374	2566	2676	1428	2184	3995	2094	2096	1265	2518	3199	3908	3062	5915
NDNL2	514	623	684	1071	776	1375	635	431	924	888	1068	1258	1376	827	1061	1286	1174	734	1139	1104	1230	1040	810
NDN	121	584	427	839	1058	813	730	789	135	133	718	971	1304	615	702	1043	1512	460	1575	148	1145	1008	1045
NDOR1	1126	1281	2949	3748	1622	2338	1214	3185	1973	1981	3105	2378	2125	2978	1671	2540	1445	1804	3052	3847	1707	1560	1928
NDP	80	7263	10	1571	2570	9	25	55	1	6	109	713	3809	32	48	11907	13	1220	61	107	119	153	1484
NDRG1	214135	4721	8025	11721	7402	4155	3796	6694	4209	8526	8225	37483	13317	2509	34575	18035	7473	29909	4666	21198	8094	4166	31756
NDRG2	3515	2107	5267	3340	2551	2921	2212	2400	2222	2001	3462	2908	2033	1778	3637	5111	3061	2514	2452	13181	4268	4182	1671
NDRG3	3650	4058	5170	4182	3150	5820	2397	3884	1912	3259	6333	5196	5043	2578	5989	5066	2131	6493	3145	2725	2116	3777	4153
NDRG4	845	56	351	280	135	80	200	449	87	169	933	431	777	178	5553	28	469	103	741	245	168	392	528
NDST1	5991	7087	3504	10247	14518	18984	13233	5935	8347	4064	16211	23344	11252	7678	15564	13129	10984	22332	16523	4853	15178	14392	7495
NDST2	820	1686	1365	2363	1776	2805	1354	1549	946	1311	1594	1922	2047	1515	1752	3068	1636	2433	1676	994	2148	1964	1820
NDST3	123	0	1	12	12	21	15	6	0	0	18	15	11	5	1	34	5	7	28	34	62	9	13
NDST4	0	0	0	0	164	0	1	0	0	5	2	0	0	2	205	0	68	0	19	0	2180	0	0
NDUFA10	3415	4270	5771	5783	6386	8711	6111	4765	4434	8830	6145	7944	10826	5520	5316	3810	4390	5001	6370	3633	6097	5196	5436
NDUFA11	4186	3493	6355	3648	3047	3399	1282	5972	4323	4094	3949	4982	3460	2035	3891	3036	2497	4366	2537	8189	2991	3044	3106
NDUFA12	1007	1761	2538	2601	1397	1691	1557	3440	2153	2395	3603	1991	2680	1653	3616	1630	1101	1321	2293	2442	1910	1953	2370
NDUFA13	2937	5954	10997	4236	4810	6223	2347	17466	10160	6761	6574	7482	5448	3559	13010	5632	5640	5542	4692	10842	5096	6397	4170
NDUFA1	1536	4165	6959	5631	2398	3649	2861	6262	6801	9327	4078	5267	4850	2868	4327	3545	2842	4784	3859	8023	3265	4204	3923
NDUFA2	415	2976	4742	2834	2689	2710	1775	3049	8795	4230	4149	4812	4924	2323	4380	3160	2064	2289	1651	2041	2006	4121	2052
NDUFA3	423	2371	2523	2750	1213	1740	1336	3699	4146	3976	1869	2715	1667	992	4056	1431	1477	2199	1542	1427	1416	1220	2204
NDUFA4L2	1495	312	178	321	279	364	262	974	883	812	468	680	572	276	686	208	741	316	576	532	482	599	493
NDUFA4	5605	6433	5679	9243	6403	7808	6993	9947	4327	10650	8220	11141	10910	5957	12723	10168	5568	7587	8155	16019	7771	10111	6473
NDUFA5	1661	1706	2835	5002	3226	5432	4291	4627	3200	9464	5994	4843	4823	2392	4428	5582	2347	6043	6085	7839	5214	5820	3732
NDUFA6	1368	1761	2353	5878	2272	2848	1371	3088	3461	3771	2970	2045	4633	1599	5343	2845	1593	2769	3280	8092	3427	3289	1870
NDUFA7	1229	1525	2590	1557	1345	1749	834	3468	2397	2850	2488	2006	1972	982	2287	2753	1403	2983	810	3222	1235	1645	2466
NDUFA8	1448	1654	3423	3783	1895	2261	1669	6891	3237	3085	4258	2671	3204	2492	2804	3055	1147	1841	2815	7985	2183	2282	2105
NDUFA9	3850	2434	3454	4879	3154	3844	2859	4257	2549	3092	6873	5496	5070	3542	8377	2853	2633	2969	5380	17868	3767	3566	6089
NDUFAB1	2323	3180	3215	4337	2577	3596	2449	4340	1749	2339	4789	3923	5872	2440	5852	3084	2567	4270	3415	3121	2472	2250	3118
NDUFAF1	505	1097	866	742	1135	1206	969	753	1151	1232	2131	1156	1087	793	1824	1722	1053	1113	1567	919	1305	1429	985
NDUFAF2	145	508	679	563	462	620	305	353	1147	452	583	798	696	355	979	502	359	944	383	712	566	228	554
NDUFAF3	2210	2720	2802	7653	1788	2424	2345	1757	4265	5710	2677	4852	3749	2946	4744	5308	2277	5469	2679	1054	2189	3133	2543
NDUFAF4	711	568	438	722	481	498	388	645	384	233	597	478	491	340	599	358	325	651	483	2052	753	484	888
